Donald,Jeb,Ben,Marco,Ted,Rand,John,Chris,Bernie,Hillary,Martin
"And to be honest with you, this country doesn't have time either.","Because I vetoed 2,500 separate line- items in the budget.","And if we don't tie their hands behind their back, they will do it extremely effectively.",I was raised paycheck to paycheck.,That there are far too many in the Washington cartel that support amnesty.,"I've been fighting amidst a lot of opposition from both Hillary Clinton, as well as some Republicans who wanted to send arms to the allies of ISIS.",Everybody has a right to their God-given purpose.,"3 billion, and we cut regulation by one-third of what my predecessor put in place.",Thank you.,And I want to do more to help us balance family and work.,And we're seeing larger and larger crowds.
This country is in big trouble.,I am my own man.,What I agree with is that we need a significantly changed taxation system.,How is she - how is she gonna lecture me - how is she gonna lecture me about student loans?,President Obama has talked about fundamentally transforming this country.,ISIS rides around in a billion dollars worth of U.,"And finally, our Medicaid is growing at one of the lowest rates in the country.","And, what's happened since?","Well, we're gonna win because first, we're gonna explain what democratic socialism is.","I believe in equal pay for equal work for women, but I also believe it's about time we had paid family leave for American families and join the rest of the world.","And the - the beauty of the people of Iowa is they're not intimidated by polls, they're not intimidated by pundits and they have this birthright, they feel, to upset the apple cart."
We don't win anymore.,"I governed as a conservative, and I govern effectively.","And the one that I've advocated is based on tithing, because I think God is a pretty fair guy.","I owed over $100,000 just four years ago.","There's 7 billion people across the face of the globe, many of whom want to come to this country.",S.,"And, finally, we went from $8 billion in the hole to $2 billion in the black.",A hundred ninety-two thousand private sector jobs in the five and a half years I've been governor.,And what democratic socialism is about is saying that it is immoral and wrong that the top one-tenth of 1 percent in this country own almost 90 percent - almost - own almost as much wealth as the bottom 90 percent.,"During the course of the evening tonight, I'll have a chance to lay out all of my plans and the work that I've done behind them.","And with only three of us in this Democratic primary, there's only one of us who can still upset the apple cart."
We lose to China.,"And the net effect was, during my eight years, 1.","And he said, you know, if you give me a tithe, it doesn't matter how much you make.","If I'm our nominee, we will be the party of the future.","If they come legally, great.",Humvees.,"We've cut $5 billion in taxes and we've grown 350,000 jobs.","We have a lot of work to do in New Jersey, but I am darn proud we've brought our state back.","That it is wrong, today, in a rigged economy, that 57 percent of all new income is going to the top 1 percent.","But for me, this is about bringing our country together again.","Come on, Iowa, right?"
We lose to Mexico both in trade and at the border.,3 million jobs were created.,"If you've had a bumper crop, you don't owe me triple tithes.",Let me set the record straight on a couple of things.,"But if they come illegally and they get amnesty, that is how we fundamentally change this country, and it really is striking.",It's a disgrace.,"Chris, first of all, I was just saying to Chris Christie, they say we're outspoken, we need to take lessons from Donald if we're really going to learn it.","Yes, I do.","That when you look around the world, you see every other major country providing health care to all people as a right, except the United States.","And I will do everything I can to heal the divides - the divides economically, because there's too much inequality; the racial divides; the continuing discrimination against the LGBT community - so that we work together and, yes, finally, fathers will be able to say to their daughters, you, too, can grow up to be president.","Yes, well, this - the - this is what I have to say."
We lose to everybody.,"We left the state better off because I applied conservative principles in a purple state the right way, and people rose up.","And if you've had no crops at all, you don't owe me no tithes.","The first is, the evidence is now clear that the majority of people coming across the border are not from Mexico.",A majority of the candidates on this stage have supported amnesty.,"We've got to stop - we shouldn't fund our enemies, for goodness sakes.",Here is the thing about Donald Trump.,"And I'll tell you why: because I'm the only person on this stage who's actually filed applications under the Patriot Act, who has gone before the federal - the Foreign Intelligence Service court, who has prosecuted and investigated and jailed terrorists in this country after September 11th.","You see every other major country saying to moms that, when you have a baby, we're not gonna separate you from your newborn baby, because we are going to have - we are gonna have medical and family paid leave, like every other country on Earth.","Well, actually, I have been very consistent.","Look, I'm in this, Chris, to win this."
"And frankly, what I say, and oftentimes it's fun, it's kidding.",I do.,So there must be something inherently fair about that.,"They're coming from Guatemala, El Salvador, Honduras.","I have never supported amnesty, and I led the fight against Chuck Schumer's gang of eight amnesty legislation in the Senate.","So, we didn't create ISIS - ISIS created themselves, but we will stop them, and one of the ways we stop them is by not funding them, and not arming them.",Donald Trump is hitting a nerve in this country.,I was appointed U.,"Those are some of the principles that I believe in, and I think we should look to countries like Denmark, like Sweden and Norway, and learn from what they have accomplished for their working people.","Over the course of my entire life, I have always fought for the same values and principles, but, like most human beings - including those of us who run for office - I do absorb new information.",I'm running for president of the United States.
We have a good time.,I believe that the great majority of people coming here illegally have no other option.,And that's why I've advocated a proportional tax system.,Those countries are the source of the people that are now coming in its majority.,"Megyn, we need a commander in chief that speaks the truth.","Megyn, may I respond?",He is.,S.,"Well, first of all, let's look at the facts.",I do look at what's happening in the world.,And the reason I'm running is this.
What I say is what I say.,They want to provide for their family.,"You make $10 billion, you pay a billion.",I also believe we need a fence.,"We will not defeat radical Islamic terrorism so long as we have a president unwilling to utter the words, ""radical Islamic terrorism"".",May I respond?,He's hitting a nerve.,"attorney by President Bush on September 10th, 2001, and the world changed enormously the next day, and that happened in my state.",The facts that are very simple.,"You know, taker the trade deal.",Our country is facing big challenges.
"And honestly Megyn, if you don't like it, I'm sorry.",But we need to control our border.,"You make $10, you pay one.","The problem is if El Chapo builds a tunnel under the fence, we have to be able to deal with that too.","When I asked General Dempsey, the chairman of the joint chiefs, what would be required militarily to destroy ISIS, he said there is no military solution.","I want to collect more records from terrorists, but less records from innocent Americans.",People are frustrated.,This is not theoretical to me.,"Republicans win when there is a low voter turnout, and that is what happened last November.","I did say, when I was secretary of state, three years ago, that I hoped it would be the gold standard.",And we have deep divisions in our country.
"I've been very nice to you, although I could probably maybe not be, based on the way you have treated me.",It's not - it's our responsibility to pick and choose who comes in.,And everybody gets treated the same way.,And that's why you need an e-verify system and you need an entry-exit tracking system and all sorts of other things to prevent illegal immigration.,We need to change the conditions on the ground so that young men are not in poverty and susceptible to radicalization.,The Fourth Amendment was what we fought the Revolution over!,They're fed up.,I went to the funerals.,"Sixty-three percent of the American people didn't vote, Anderson.","It was just finally negotiated last week, and in looking at it, it didn't meet my standards.","And we need a candidate who can actually pull us together, who can heal these divisions who can get things done."
But I wouldn't do that.,"So I - I've written a book about this and yet this week, I did come up with a comprehensive strategy that - that really mirrored what we said in the book, which is that we need to deal with E-Verify, we need to deal with people that come with a legal visa and overstay.","And you get rid of the deductions, you get rid of all the loopholes, and I have a lot more to say about it.",But I agree with what Governor Kasich just said.,"That, with all due respect, is nonsense.","John Adams said it was the spark that led to our war for independence, and I'm proud of standing for the Bill of Rights, and I will continue to stand for the Bill of Rights.",They don't think the government is working for them.,We lost friends of ours in the Trade Center that day.,Eighty percent of young people didn't vote.,"My standards for more new, good jobs for Americans, for raising wages for Americans.",That's what I've done all my life.
Only Rosie O'Donnell.,"We need to be much more strategic on how we deal with border enforcement, border security.","If Hillary is the candidate, which I doubt, that would be a dream come true.",People are frustrated.,It's the same answer the State Department gave that we need to give them jobs.,Use the Fourth Amendment!,"And for people who want to just tune him out, they're making a mistake.","My own wife was two blocks from the Trade Center that day, at her office, having gone through it that morning.","We are bringing out huge turnouts, and creating excitement all over this country.","And I want to make sure that I can look into the eyes of any middle-class American and say, ""this will help raise your wages.",I'm not a divider.
"But you know what, we - we need strength, we need energy, we need quickness and we need brain in this country to turn it around.",We need to eliminate the sanctuary cities in this country.,"But you know, the fact of the matter is, she is the epitome of the progressive - the secular progressive movement.",This is the most generous country in the world when it comes to immigration.,"What we need is a commander in chief that makes - clear, if you join ISIS, if you wage jihad on America, then you are signing your death warrant.",Use the Fourth Amendment!,"Now, he's got his solutions.","When you actually have to be responsible for doing this, you can do it, and we did it, for seven years in my office, respecting civil liberties and protecting the homeland.","Democrats at the White House on down will win, when there is excitement and a large voter turnout, and that is what this campaign is doing.",""" And I concluded I could not.","If I were, I would not have been able to accomplish the things we accomplished in a very troubled city or in our state through a recession."
"That, I can tell you right now.",It is ridiculous and tragic that people are dying because of the fact that - that local governments are not following the federal law.,"And she counts on the fact that people are uninformed, the Alinsky Model, taking advantage of useful idiots.","There are a million people a year who legally immigrate to the United States, and people feel like we're being taken advantage of.","Megyn, of course it's an ideological problem, that's one of the reasons I introduce the Expatriate Terrorist Act in the Senate that said if any American travels to the Middle East and joining ISIS, that he or she forfeits their citizenship so they don't use a passport to come back and wage jihad on Americans.",Get a warrant!,Some of us have other solutions.,"And I will make no apologies, ever, for protecting the lives and the safety of the American people.",Do I consider myself part of the casino capitalist process by which so few have so much and so many have so little by which Wall Street's greed and recklessness wrecked this economy?,No.,"And that's what I believe the people of Iowa are looking for, a president who will move us forward, who will build on the good things that President Obama has done and actually take that job creation legacy and turn it into rising wages again for every American family."
"So, if it weren't for me, you wouldn't even be talking about illegal immigration, Chris.",There's much to do.,"Well, I just happen to believe that people are not stupid.","We feel like despite our generosity, we're being taken advantage of.","Yes, it is ideological, and let me contrast President Obama, who at the prayer breakfast, essentially acted as an apologist.",Get a judge to sign the warrant!,"You know, look, I balanced the federal budget as one of the chief architects when I was in Washington.","We have to give more tools to our folks to be able to do that, not fewer, and then trust those people and oversee them to do it the right way.","No, I don't.","I think that, like most people that I know, I have a range of views, but they are rooted in my values and my experience.",That's what we need.
You wouldn't even be talking about it.,"And I think rather than talking about this as a wedge issue, which Barack Obama has done now for six long years, the next president - and I hope to be that president - will fix this once and for all so that we can turn this into a driver for high sustained economic growth.","And the way I will come at it is to educate people, help people to actually understand that it is that progressive movement that is causing them the problems.",And let me tell you who never gets talked about in these debates.,"He said, ""Well, gosh, the crusades, the inquisitionsŠ—–"" We need a president that shows the courage that Egypt's President al-Sisi, a Muslim, when he called out the radical Islamic terrorists who are threatening the world.","See, here's the problem.",Hasn't been done since.,"As president, that is exactly what I'll do.",I believe in a society where all people do well.,And I don't take a back seat to anyone when it comes to progressive experience and progressive commitment.,And we need new leadership to do that and break through the gridlock of Washington.
This was not a subject that was on anybody's mind until I brought it up at my announcement.,And there should be a path to earned legal status for those that are here.,"You know, you look at the - the national debt and how it's being driven up.","The people that call my office, who have been waiting for 15 years to come to the United States.","Well, Bret, of course they have, and over the last six and a half years we've seen the consequences of the Obama-Clinton foreign policy.","Here's the problem, governor.",I was a military reformer.,"And - and, Megyn?",Not just a handful of billionaires.,"You know, when I left law school, my first job was with the Children's Defense Fund, and for all the years since, I have been focused on how we're going to un-stack the deck, and how we're gonna make it possible for more people to have the experience I had.",Yes.
"And I said, Mexico is sending.","Not - not amnesty, earned legal status, which means you pay a fine and do many things over an extended period of time.","If I was trying to destroy this country, what I would do is find a way to drive wedges between all the people, drive the debt to an unsustainable level, and then step off the stage as a world leader and let our enemies increase while we decreased our capacity as a military person.","And they've paid their fees, and they hired a lawyer, and they can't get in.",Leading from behind is a disaster.,"Here's the problem, governor.","I took the state of Ohio from an $8 billion hole and a 350,000 job loss to a $2 billion surplus and a gain of 350,000 jobs.","Megyn, that's a - that, you know, that's a completely ridiculous answer.",I think everybody is in agreement that we are a great entrepreneurial nation.,"You know, to be able to come from a grandfather who was a factory worker, a father who was a small business person, and now asking the people of America to elect me president.","Well, look, I'm honored to be able to offer my candidacy in the company of Secretary Clinton and Senator Sanders."
"Except the reporters, because they're a very dishonest lot, generally speaking, in the world of politics, they didn't cover my statement the way I said it.","Knowing what we know now, with faulty intelligence, and not having security be the first priority when - when we invaded, it was a mistake.",And that's what she's doing.,"And they're wondering, maybe they should come illegally.","We have abandoned and alienated our friends and allies, and our enemies are stronger.",You fundamentally misunderstand the Bill of Rights.,But the point is that we all have solutions.,"""I want to collect more records from terrorists, but less records from other people.",We have got to encourage that.,I'm a progressive.,"If you look at our Democratic primary and the debates we've had, we're certainly doing a much better job of speaking to the goodness within our country rather than to fear and anger and loathing like we've hear from Republicans."
"The fact is, since then, many killings,murders, crime, drugs pouring across the border, are money going out and the drugs coming in.","I wouldn't have gone in, however, for the people that did lose their lives, and the families that suffer because of it - I know this full well because as governor of the state of Florida, I called every one of them.","Well, what we have to stop and think about is that we have weakened ourselves militarily to such an extent that if affects all of our military policies.","And so these are important issues, and we should address it.","Radical Islam is on the rise, Iran's on the verge of acquiring a nuclear weapon, China is waging cyber warfare against America, Russia - General Soleimani, you just mentioned, the Iranian general is the head of the al Quds forces.","Every time you did a case, you got a warrant from a judge.",Mr.,""" How are you supposed to know, Megyn?","Of course, we have to support small and medium-sized businesses.",But I'm a progressive who likes to get things done.,Yes.
"And I said we need to build a wall, and it has to be built quickly.","Every one of them that I could find to tell them that I was praying for them, that I cared about them, and it was really hard to do.","Our Navy is at its smallest size since 1917; our Air Force, since 1940.","It's a serious problem that needs to be addressed, and otherwise we're going to keep talking about this for the next 30 years, like we have for the last 30 years.","He's directly responsible for the murder of over 500 American servicemen in Iraq, and part of this Iranian deal was lifting the international sanctions on General Soleimani.","I'm talking about searches without warrants indiscriminately, of all Americans' records, and that's what I fought to end.",Trump is touching a nerve because people want the wall to be built.,"Listen, senator, you know, when you're sitting in a subcommittee, just blowing hot air about this, you can say things like that.",But you can have all of the growth that you want and it doesn't mean anything if all of the new income and wealth is going to the top 1 percent.,"And I know how to find common ground, and I know how to stand my ground, and I have proved that in every position that I've had, even dealing with Republicans who never had a good word to say about me, honestly.",Is this Q&A time?
And I don't mind having a big beautiful door in that wall so that people can come into this country legally.,"And, every one of them said that their child did not die in vain, or their wife, of their husband did not die in vain.","In recent testimony, the commandant of the Marine Corps said half of the non-deployed units were not ready and you know, the sequester is cutting the heart out of our personnel.","Well, first off, I too believe in curriculum reform.",The day General Soleimani flew back from Moscow to Iran was the day we believed that Russia used cyber warfare against the joint chiefs.,I don't trust President Obama with our records.,They want to see an end to illegal immigration.,"When you're responsible for protecting the lives of the American people, then what you need to do is to make sure that you use the system the way it's supposed to work.","So what we need to do is support small and medium-sized businesses, the backbone of our economy, but we have to make sure that every family in this country gets a fair shake not just for billionaires.","But we found ways to work together on everything from reforming foster care and adoption to the Children's Health Insurance Program, which insures 8 million kids.",Am I allowed to stand?
"But we need, Jeb, to build a wall, we need to keep illegals out.","So, why it was difficult for me to do it was based on that.","Our generals are retiring because they don't want to be part of this, and at the same time, our enemies are increasing.",It is critically important in the 21st Century.,"We need a new commander in chief that will stand up to our enemies, and that will have credibility|","I know you gave him a big hug, and if you want to give him a big hug again, go right ahead.","They want to see it, and we all do.","And you know - you know, Senator Paul?","Let's begin, Anderson, by understanding that Bernie Sanders has a D-minus voting rating from the NRA.","So I have a long history of getting things done, rooted in the same values I've always had.",I'm not capable of doing Q&A in Iowa from a seat.
"Border Patrol, I was at the border last week.","Here's the lesson that we should take from this, which relates to this whole subject, Barack Obama became president, and he abandoned Iraq.",Our - our friends can't trust us anymore.,We do need curriculum reform.,It is worth emphasizing that Iran released our hostages in 1981 the day Ronald Reagan was sworn into office.,"News flash, the Republican Party's been fighting against a single-payer system for a decade.",But we all have different ways of getting there.,"Senator Paul, you know, the hugs that I remember are the hugs that I gave to the families who lost their people on September 11th.","Let's also understand that back in 1988 when I first ran for the United States Congress, way back then, I told the gun owners of the state of Vermont and I told the people of the state of Vermont, a state which has virtually no gun control, that I supported a ban on assault weapons.","Well, let me just follow-up on that, Anderson, because when I think about capitalism, I think about all the small businesses that were started because we have the opportunity and the freedom in our country for people to do that and to make a good living for themselves and their families.",OK.
"Border Patrol, people that I deal with, that I talk to, they say this is what's happening.","He left, and when he left Al Qaida was done for.","You know, Ukraine was a nuclear-armed state.",And it should happen at the state and local level.,"Brett, can I - Brett, can I jump in on this one?",So I think you're on the wrong side of this if you're still arguing for a single-payer system.,And you're going to hear from all of us tonight about what our ideas are.,"Those are the hugs I remember, and those had nothing to do - and those had nothing to do with politics, unlike what you're doing by cutting speeches on the floor of the Senate, then putting them on the Internet within half an hour to raise money for your campaign and while still putting our country at risk.","And over the years, I have strongly avoided instant background checks, doing away with this terrible gun show loophole.","And I don't think we should confuse what we have to do every so often in America, which is save capitalism from itself.","Well, look, let's talk about this."
Because our leaders are stupid.,"ISIS was created because of the void that we left, and that void now exists as a caliphate the size of Indiana.",They gave away their nuclear arms with the understanding that we would protect them.,"That is where educational policy belongs, because if a parent is unhappy with what their child is being taught in school, they can go to that local school board or their state legislature, or their governor and get it changed.","Well, I am blessed to receive a word from God every day in receiving the scriptures and reading the scriptures.","I oppose the Iranian deal, and will vote against it.",Let's start off with my father being a mailman.,"No, he's not lying, he's just wrong.",And I think we've got to move aggressively at the federal level in dealing with the straw man purchasers.,And I think what Senator Sanders is saying certainly makes sense in the terms of the inequality that we have.,"In 1999, our city of Baltimore had become the most violent, the most addicted and the most abandoned city in America."
Our politicians are stupid.,"To honor the people that died, we need to - we need to - stop the - Iran agreement, for sure, because the Iranian mullahs have their blood on their hands, and we need to take out ISIS with every tool at our disposal.",We won't even give them offensive weapons.,Here's the problem with Common Core.,And God speaks through the Bible.,"I don't think that the president negotiated from a position of strength, but I don't immediately discount negotiations.","So I understand the concerns of all the folks across this country, some of whom having trouble, you know, making ends meet.","I mean, so, there's a difference - I'm the only guy on this stage who's put out a detailed, 12 point plan on entitlement reform and here's why - because 71% of federal spending right now is on entitlements, and debt service, 71%.","Also I believe, and I've fought for, to understand that there are thousands of people in this country today who are suicidal, who are homicidal, but can't get the healthcare that they need, the mental healthcare, because they don't have insurance or they're too poor.",But we are not Denmark.,"An when very few other people would step up who could bring us together and turn it around, I did."
"And the Mexican government is much smarter, much sharper, much more cunning.","No, I don't.","You know, we turned our back on Israel, our ally.","The Department of Education, like every federal agency, will never be satisfied.","I'm the son of a pastor and evangelist and I've described many times how my father, when I was a child, was an alcoholic.",I'm a Reagan conservative.,But I think she will come in a narrow way.,"And we have spent the last hour and five minutes talking about the other 29%, and no time on the 71%, and that makes no sense.",I believe that everybody in this country who has a mental crisis has got to get mental health counseling immediately.,I love Denmark.,"And that year, and for about the 12 years leading up to that point, we were burying over 300 young, poor, black men every single year."
And they send the bad ones over because they don't want to pay for them.,"And I don't believe the federal government should be involved in the creation of standards directly or indirectly, the creation of curriculum or content.","You know, and a situation like that, of course Obama's not going to be able to do anything.",They will not stop with it being a suggestion.,He was not a Christian.,Reagan did negotiate with the Soviets.,"The nominee of this party, if they're going to win, has got to come at it in a big way, which is pro-growth.","Now, let me tell you exactly what we would do on Social Security.",Of course not.,We are the United States of America.,"And, yes, black lives matter."
They don't want to take care of them.,It is clearly a state responsibility.,"I would shore up our military first, because if you don't get the military right, nothing else is going to work.",They will turn it into a mandate.,And my father left my mother and left me when I was just three years old.,"But you have to negotiate from a position of strength, and I think President Obama gave away too much, too early.",Which is balancing budgets.,"Yes, we'd raise the retirement age two years, and phase it in over 25 years, that means we'd raise it one month a year for 25 years when we're all living longer, and living better lives.",This was a large and complicated bill.,And it's our job to rein in the excesses of capitalism so that it doesn't run amok and doesn't cause the kind of inequities we're seeing in our economic system.,"And I told the people of my city look, we did not have to accept the reality of 24/7 drug dealer occupation over our poor neighborhood."
Why should they when the stupid leaders of the United States will do it for them?,"I'm for higher standards measured in an intellectually honest way, with abundant school choice, ending social promotion.","Well, I think the bully pulpit is a wonderful place to start healing that divide.","In fact, what they will begin to say to local communities is, you will not get federal money unless do you things the way we want you to do it.",And someone invited him to Clay Road Baptist Church.,"If there's going to be a negotiation, you're going to have to believe somehow that the Iranians are going to comply.","You know, we were talking about it.","Secondly, we would needs test Social Security for those who are making over $200,000 dollars a year in retirement income, and have $4 to $5 million dollars in liquid assets saved.",There were provisions in it that I think made sense.,But we would be making a grave mistake to turn our backs on what built the greatest middle class in the history of the world.,"When you call from a poor neighborhoo for a police service, they should respond the same way that they do in wealthier neighborhoods, black and white."
And that's what is happening whether you like it or not.,"And I know how to do this because as governor of the state of Florida I created the first statewide voucher program in the country, the second statewide voucher program, in the country and the third statewide voucher program in the country.","You know, we have the purveyors of hatred who take every single incident between people of two races and try to make a race war out of it, and drive wedges into people.",And they will use Common Core or any other requirements that exists nationally to force it down the throats of our people in our states.,And he gave his heart to Jesus and it turned him around.,"I asked this question to John Kerry, I said ""do you believe they're trustworthy?","People were saying, could we do it?",They don't need that Social Security check.,"For example, do I think that a gun shop in the state of Vermont that sells legally a gun to somebody, and that somebody goes out and does something crazy, that that gun shop owner should be held responsible?","No, not at all.",There are a lot of things we got right.
"A complete disaster, yes.","And we had rising student achievement across the board, because high standards, robust accountability, ending social promotion in third grade, real school choice across the board, challenging the teachers union and beating them is the way to go.",And this does not need to be done.,That's a great question.,And he got on a plane and he flew back to my mother and me.,""" and he said ""No.","I was the chairman of the Budget Committee and the lead architect the last time it happened in Washington, and when we did it we had great economic growth, we cut taxes, and we had a big surplus.","Social Security is meant to be - to make sure that no one who's worked hard, and played by the rules, and paid into the system grows old in poverty in America.",I don't.,I think that we have to look at the fact that we lose 90 people a day from gun violence.,There were a lot of lives that we saved.
