"","person","speech","syllables","wordsyl","pol","readability","wc"
"66","Donald Trump","And I will do that through a different system.",12,9,0,2.43333333333333,1.33333333333333
"67","Donald Trump","I’m not — I’m not are — I don’t think you heard me.",11,11,0,-1.8,1
"68","Donald Trump","You’re having a hard time tonight.",8,6,-0.377964473009227,2.765,1.33333333333333
"69","Donald Trump","You’d better believe it.",6,4,0.447213595499958,2.9425,1.5
"70","Donald Trump","If I ask them, if I need them, you know, most of the people on this stage I’ve given to, just so you understand, a lot of money.",33,28,0,8.38214285714286,1.17857142857143
"71","Donald Trump","Many of them.",4,3,0,-4.23,1.33333333333333
"72","Donald Trump","Sounds good.",2,2,0.707106781186547,3.12,1
"73","Donald Trump","Sounds good to me, Governor.",7,5,0.447213595499958,1.794,1.4
"74","Donald Trump","I will tell you that our system is broken.",11,9,-0.333333333333333,0.34,1.22222222222222
"75","Donald Trump","I gave to many people, before this, before two months ago, I was a businessman.",23,15,0,5.224,1.53333333333333
"76","Donald Trump","I give to everybody.",7,4,0,-0.59,1.75
"77","Donald Trump","When they call, I give.",5,5,0,-2.916,1
"78","Donald Trump","And do you know what?",5,5,0,-3.858,1
"79","Donald Trump","When I need something from them two years later, three years later, I call them, they are there for me.",23,20,0,7.41,1.15
"80","Donald Trump","And that’s a broken system.",7,5,-0.408248290463863,0.852,1.4
"81","Donald Trump","Well, I’ll tell you what, with Hillary Clinton, I said be at my wedding and she came to my wedding.",25,20,0.218217890235992,6.2325,1.25
"82","Donald Trump","You know why?",3,3,0,-4.23,1
"83","Donald Trump","She didn’t have a choice because I gave.",9,8,0,0.821249999999999,1.125
"84","Donald Trump","I gave to a foundation that, frankly, that foundation is supposed to do good.",20,14,0.267261241912424,6.09214285714286,1.42857142857143
"85","Donald Trump","I didn’t know her money would be used on private jets going all over the world.",20,16,0,4.82125,1.25
"86","Donald Trump","It was.",2,2,0,-8.655,1
"87","Donald Trump","But|",1,1,0,-6.8,1
"88","Donald Trump","Because I have used the laws of this country just like the greatest people that you read about every day in business have used the laws of this country, the chapter laws, to do a great job for my company, for myself, for my employees, for my family, et cetera.",68,50,0.424264068711929,22.7868,1.36
"89","Donald Trump","I have never gone bankrupt, by the way.",10,8,0.353553390593274,0.232500000000002,1.25
"90","Donald Trump","I have never.",4,3,0,-4.23,1.33333333333333
"91","Donald Trump","But out of hundreds of deals|",7,6,0,-0.375,1.16666666666667
"92","Donald Trump","Excuse me, what am I saying?",7,6,0,-1.945,1.16666666666667
"93","Donald Trump","Out of hundreds of deals that I’ve done, hundreds, on four occasions I’ve taken advantage of the laws of this country, like other people.",34,24,0.392232270276368,11.765,1.41666666666667
"94","Donald Trump","I’m not going to name their names because I’m not going to embarrass, but virtually every person that you read about on the front page of the business sections, they’ve used the law.",45,33,0.166666666666667,15.6227272727273,1.36363636363636
"95","Donald Trump","The difference is, when somebody else uses those laws, nobody writes about it.",20,13,0,7.89538461538461,1.53846153846154
"96","Donald Trump","When I use it, they say, “Trump, Trump, Trump.",9,9,1,-0.183333333333334,1
"97","Donald Trump","” The fact is, I built a net worth of more than $ten billion.",14,13,0.499230176602706,1.01153846153846,1.07692307692308
"98","Donald Trump","I have a great, great company.",8,6,1.46969384566991,-0.375,1.33333333333333
"99","Donald Trump","I employ thousands of people.",8,5,0,3.678,1.6
"100","Donald Trump","And I’m very proud of the job I did.",10,9,0.569209978830308,-3.32333333333333,1.11111111111111
"101","Donald Trump","Again Chris, hundreds and hundreds of deals.",10,7,0,6.29285714285714,1.42857142857143
"102","Donald Trump","Four times, I’ve taken advantage of the laws.",11,8,0.333333333333333,3.17625,1.375
"103","Donald Trump","And frankly, so has everybody else in my position.",15,9,0,4.00333333333333,1.66666666666667
"104","Donald Trump","Let me just tell you about the lenders.",10,8,0,0.821249999999999,1.25
"105","Donald Trump","First of all, these lenders aren’t babies.",10,7,0,4.27428571428571,1.42857142857143
"106","Donald Trump","These are total killers.",6,4,0,4.12,1.5
"107","Donald Trump","These are not the nice, sweet little people that you think, OK?",14,12,0,3.8025,1.16666666666667
"108","Donald Trump","You know, I mean you’re living in a world of the make-believe, Chris, you want to know the truth.",23,19,0,6.16631578947369,1.21052631578947
"109","Donald Trump","And I had the good sense to leave Atlantic City, which by the way, Caesars just went bankrupt.",23,18,0,6.93333333333333,1.27777777777778
"110","Donald Trump","Every company, Chris can tell you, every company virtually in Atlantic City went bankrupt.",26,14,-0.267261241912424,10.4657142857143,1.85714285714286
"111","Donald Trump","Every company.",5,2,0,7.83,2.5
"112","Donald Trump","And let me just tell you.",6,6,0,-3.515,1
"113","Donald Trump","I had the good sense, and I’ve gotten a lot of credit in the financial pages, seven years ago I left Atlantic City before it totally cratered, and I made a lot of money in Atlantic City, and I’m very proud of it.",61,43,0.417399355799961,17.9241860465116,1.41860465116279
"114","Donald Trump","I want to tell you that.",6,6,0,-4.3,1
"115","Donald Trump","Very, very proud of it.",7,5,0.804984471899924,-2.916,1.4
"116","Donald Trump","And by the way, this country right now owes $nineteen trillion.",14,11,0.301511344577764,5.47909090909091,1.27272727272727
"117","Donald Trump","And they need somebody like me to straighten out that mess.",14,11,0.301511344577764,4.62272727272727,1.27272727272727
"118","Donald Trump","don’t think they like me very much.",8,7,0.636396103067893,0.237142857142857,1.14285714285714
"119","Donald Trump","I’ll tell you what.",4,4,0,-2.945,1
"120","Donald Trump","I’ve evolved on many issues over the years.",12,8,-0.333333333333333,2.5875,1.5
"121","Donald Trump","And you know who else has?",6,6,0,-2.73,1
"122","Donald Trump","Is Ronald Reagan evolved on many issues.",12,7,-0.377964473009227,4.27428571428571,1.71428571428571
"123","Donald Trump","And I am pro-life.",5,4,0,-4.1225,1.25
"124","Donald Trump","And if you look at the question, I was in business.",13,11,0,0.769090909090909,1.18181818181818
"125","Donald Trump","They asked me a question as to pro-life or choice.",12,10,0,1.939,1.2
"126","Donald Trump","And I said if you let it run, that I hate the concept of abortion.",18,15,-0.258198889747161,1.77,1.2
"127","Donald Trump","I hate the concept of abortion.",9,6,-0.408248290463863,1.195,1.5
"128","Donald Trump","And then since then, I’ve very much evolved.",10,8,0,2.5875,1.25
"129","Donald Trump","And what happened is friends of mine years ago were going to have a child, and it was going to be aborted.",28,22,-0.21320071635561,7.33954545454545,1.27272727272727
"130","Donald Trump","And it wasn’t aborted.",6,4,-0.447213595499958,0.587499999999999,1.5
"131","Donald Trump","And that child today is a total superstar, a great, great child.",16,12,1.03923048454133,4.195,1.33333333333333
"132","Donald Trump","And I saw that.",4,4,0,-6.4775,1
"133","Donald Trump","And I saw other instances.",7,5,0,0.852,1.4
"134","Donald Trump","And I am very, very proud to say that I am pro-life.",15,12,0.721110255092798,-0.515000000000001,1.25
"135","Donald Trump","As far as being a Republican is concerned, I come from a place, New York City, which is virtually, I mean, it is almost exclusively Democrat.",40,26,-0.196116135138184,11.4969230769231,1.53846153846154
"136","Donald Trump","And I have really started to see some of the negatives — as an example, and I have a lot of liking for this man, but the last number of months of his brother’s administration were a catastrophe.",53,37,-0.162221421130763,16.4191891891892,1.43243243243243
"137","Donald Trump","And unfortunately, those few months gave us President Obama.",17,9,-0.333333333333333,9.23666666666666,1.88888888888889
"138","Donald Trump","And you can’t be happy about that.",9,7,0.353553390593274,-0.435714285714283,1.28571428571429
"139","Donald Trump","First of all, Jeb, I am very happy that you denied that, and I appreciate that very much.",25,18,0.612825877028341,5.36333333333333,1.38888888888889
"140","Donald Trump","He is a true gentleman.",7,5,0,-1.974,1.4
"141","Donald Trump","He really is.",4,3,0,-4.23,1.33333333333333
"142","Donald Trump","One thing he did say, and I mean that.",9,9,0,-2.27666666666666,1
"143","Donald Trump","The one thing he did say about me, however, was my tone.",15,12,0,1.055,1.25
"144","Donald Trump","And I also understand that.",8,5,0,1.794,1.6
"145","Donald Trump","But when you have people that are cutting Christians’ heads off, when you have a world that the border and at so many places, that it is medieval times, we’ve never — it almost has to be as bad as it ever was in terms of the violence and the horror, we don’t have time for tone.",70,56,-0.131306432859723,24.4848214285714,1.25
"146","Donald Trump","We have to go out and get the job done.",10,10,0,-2.771,1
"147","Donald Trump","I would be so different from what you have right now.",13,11,0.301511344577764,2.05363636363636,1.18181818181818
"148","Donald Trump","Like, the polar opposite.",7,4,0.5,4.12,1.75
"149","Donald Trump","We have a president who doesn’t have a clue.",11,9,0,0.863333333333333,1.22222222222222
"150","Donald Trump","I would say he’s incompetent, but I don’t want to do that because that’s not nice.",20,16,-0.458831467741123,4.82125,1.25
"151","Donald Trump","But if you look at the deals we make, whether it’s the nuclear deal with twenty four hour periods — and by the way, before you get to the twenty four hours, you have to go through a system.",47,38,0,15.5423684210526,1.23684210526316
"152","Donald Trump","You look at Sergeant Bergdahl, we get Bergdahl, a traitor, and they get five of the big, great killers leaders that they want.",29,23,0,10.3434782608696,1.26086956521739
"153","Donald Trump","We have people in Washington that don’t know what they’re doing.",15,11,0,5.90727272727273,1.36363636363636
"154","Donald Trump","Now|",1,1,0,-6.8,1
"155","Donald Trump","Now, with Iran, we’re making a deal, you would say, we want him.",15,13,0,1.73615384615385,1.15384615384615
"156","Donald Trump","We want out our prisoners.",7,5,0,0.852,1.4
"157","Donald Trump","We want all these things, and we don’t get anything.",12,10,0,2.41,1.2
"158","Donald Trump","We’re giving them $one hundred fifty billion dollars plus, they are going to be — I’ll tell you what, if Iran was a stock, you folks should go out and buy it right now because you’ll quadruple — this, what’s happening in Iran, is a disgrace, and it’s going to lead to destruction in large portions of the world.",75,57,0,26.7363157894737,1.31578947368421
"159","Donald Trump","I’m Donald Trump.",4,3,0.5,0.48,1.33333333333333
"160","Donald Trump","I wrote “The Art of the Deal”.",7,7,0,-3.8,1
"161","Donald Trump","I say not in a braggadocious way, I’ve made billions and billions of dollars dealing with people all over the world, and I want to put whatever that talent is to work for this country so we have great trade deals, we make our country rich again, we make it great again.",68,52,0.686802819743445,23.7723076923077,1.30769230769231
"162","Donald Trump","We build our military, we take care of our vets, we get rid of Obamacare, and we have a great life altogether.",31,22,0.21320071635561,7.76772727272727,1.40909090909091
"163","Donald Trump","Thank you.",2,2,0.707106781186547,-1.59,1
"164","Donald Trump","Thank you.",2,2,0.707106781186547,-1.59,1
"165","Donald Trump","Well, first of all, Rand Paul shouldn’t even be on this stage.",13,12,0.277350098112615,3.0175,1.08333333333333
"166","Donald Trump","He’s number eleven, he’s got one percent in the polls, and how he got up here, there’s far too many people anyway.",30,22,0,7.98181818181818,1.36363636363636
"167","Donald Trump","As far as temperament — and we all know that — as far as temperament, I think I have a great temperament.",29,20,0.223606797749979,7.41,1.45
"168","Donald Trump","I built a phenomenal business with incredible, iconic assets, one of the really truly great real-estate businesses.",34,17,1.08423039781937,13.3905882352941,2
"169","Donald Trump","And I may be an entertainer, because I’ve had tremendous success with number-one bestsellers all over the place, with “The Apprentice” and everything else I’ve done.",43,26,0.185695338177052,15.4823076923077,1.65384615384615
"170","Donald Trump","But I will tell you this: What I am far and away greater than an entertainer is a businessman, and that’s the kind of mindset this country needs to bring it back, because we owe $nineteen trillion right now, $nineteen trillion, and you need this kind of thinking to bring our country back.",70,53,0.136082763487954,25.3318867924528,1.32075471698113
"171","Donald Trump","And believe me, my temperament is very good, very calm.",16,10,1.64438438328756,3.823,1.6
"172","Donald Trump","But we will be respected outside of this country.",13,9,0,4.00333333333333,1.44444444444444
"173","Donald Trump","We are not respected now.",7,5,0,-0.0899999999999999,1.4
"174","Donald Trump","I never attacked him on his look, and believe me, there’s plenty of subject matter right there.",23,17,0.235702260395516,7.84941176470588,1.35294117647059
"175","Donald Trump","That I can tell you.",5,5,0,-4.8,1
"176","Donald Trump","In Wisconsin, you’re losing $two.",8,5,-0.408248290463863,4.62,1.6
"177","Donald Trump","two billion right now.",5,4,0.5,1.765,1.25
"178","Donald Trump","I’m using facts.",4,3,0,-1.09,1.33333333333333
"179","Donald Trump","Every major business leader has used the — I never went bankrupt, by the way, as you know, everybody knows.",28,19,0.229415733870562,8.64526315789474,1.47368421052632
"180","Donald Trump","But we — hundreds of companies, hundreds of deals, I’ve used.",14,10,0,5.236,1.4
"181","Donald Trump","Totally false.",4,2,-0.707106781186547,7.83,2
"182","Donald Trump","I would have gotten it.",6,5,0,-1.974,1.2
"183","Donald Trump","I promise I would have gotten it.",9,7,0.377964473009227,-0.435714285714283,1.28571428571429
"184","Donald Trump","I promise if I wanted it, I would have gotten it.",14,11,0.301511344577764,-0.0872727272727261,1.27272727272727
"185","Donald Trump","I know my people.",5,4,0,-4.1225,1.25
"186","Donald Trump","I know my people.",5,4,0,-4.1225,1.25
"187","Donald Trump","No.",1,1,0,-11.51,1
"188","Donald Trump","I just will tell you that, you know, Jeb made the statement.",14,12,0,2.625,1.16666666666667
"189","Donald Trump","I’m not only referring to him.",9,6,0,-0.375,1.5
"190","Donald Trump","I — a lot of money was raised by a lot of different people that are standing up here.",23,18,0,4.57833333333333,1.27777777777778
"191","Donald Trump","And the donors, the special interests, the lobbyists have very strong power over these people.",24,15,0.722956891292051,10.248,1.6
"192","Donald Trump","I’m spending all of my money, I’m not spending — I’m not getting any — I turned down — I turn down so much, I could have right now from special interests and donors, I could have double and triple what he’s got.",51,40,0.301511344577764,17.1745,1.275
"193","Donald Trump","I’ve turned it down.",4,4,0,-1.7675,1
"194","Donald Trump","I turned down last week $five million from somebody.",12,9,0,5.05,1.33333333333333
"195","Donald Trump","So I will tell you I understand the game, I’ve been on the other side all of my life.",22,19,0,3.93526315789474,1.15789473684211
"196","Donald Trump","And they have a lot of control over our politicians.",15,10,0,3.352,1.5
"197","Donald Trump","And I don’t say that favorably, and I’m not sure if there’s another system, but I say this.",24,18,0,5.36333333333333,1.33333333333333
"198","Donald Trump","I am not accepting any money from anybody.",15,8,0,2.5875,1.875
"199","Donald Trump","Nobody has control of me other than the people of this country.",18,12,0,4.5875,1.5
"200","Donald Trump","I’m going to do the right thing.",8,7,0.353553390593274,-1.78142857142857,1.14285714285714
"201","Donald Trump","That’s true.",2,2,0,0.765000000000001,1
"202","Donald Trump","That’s true.",2,2,0,0.765000000000001,1
"203","Donald Trump","I was — excuse me, Jeb.",6,5,-0.447213595499958,-4.8,1.2
"204","Donald Trump","I was a businessman, I got along with Clinton, I got along with everybody.",23,14,0,5.08285714285714,1.64285714285714
"205","Donald Trump","That was my job, to get along with people.",11,9,0,-0.183333333333334,1.22222222222222
"206","Donald Trump","I didn’t want to — excuse me.",7,6,-0.377964473009227,-2.73,1.16666666666667
"207","Donald Trump","One second.",3,2,0,0.765000000000001,1.5
"208","Donald Trump","OK, more energy tonight.",7,4,0,2.9425,1.75
"209","Donald Trump","I like that.",3,3,0.577350269189626,-5.8,1
"210","Donald Trump","didn’t want — it was my obligation as a businessman to my family, to my company, to my employees, to get along with all politicians.",40,24,0,10.5875,1.66666666666667
"211","Donald Trump","I get along with all of them, and I did a damn good job in doing it.",19,17,0,0.922941176470587,1.11764705882353
"212","Donald Trump","Go ahead.",3,2,0,-3.945,1.5
"213","Donald Trump","Got along with everybody.",8,4,0,5.2975,2
"214","Donald Trump","Wrong.",1,1,-1,2.62,1
"215","Donald Trump","Don’t make things up.",4,4,0,-0.59,1
"216","Donald Trump","Jeb, don’t make things up.",5,5,0,-1.032,1
"217","Donald Trump","Come on.",2,2,0,-6.3,1
"218","Donald Trump","Don’t make things up.",4,4,0,-0.59,1
"219","Donald Trump","So, number one, they have to respect you.",10,8,0.353553390593274,0.821249999999999,1.25
"220","Donald Trump","He has absolutely no respect for President Obama.",16,8,-0.353553390593274,6.70875,2
"221","Donald Trump","Zero.",2,1,0,-2.09,2
"222","Donald Trump","Syria’s a mess.",4,3,-0.5,-2.66,1.33333333333333
"223","Donald Trump","You look at what’s going on with ISIS in there, now think of this: we’re fighting ISIS.",21,17,0,5.35588235294118,1.23529411764706
"224","Donald Trump","ISIS wants to fight Syria.",7,5,0,0.852,1.4
"225","Donald Trump","Why are we fighting ISIS in Syria?",10,7,0,0.237142857142857,1.42857142857143
"226","Donald Trump","Let them fight each other and pick up the remnants.",12,10,0,2.881,1.2
"227","Donald Trump","I would talk to him.",5,5,0,-4.8,1
"228","Donald Trump","I would get along with him.",7,6,0,-1.945,1.16666666666667
"229","Donald Trump","I believe — and I may be wrong, in which case I’d probably have to take a different path, but I would get along with a lot of the world leaders that this country is not getting along with.",48,38,-0.160128153805087,15.5423684210526,1.26315789473684
"230","Donald Trump","We don’t get along with China.",8,6,0,-0.375,1.33333333333333
"231","Donald Trump","We don’t get along with the heads of Mexico.",12,9,0,0.863333333333333,1.33333333333333
"232","Donald Trump","We don’t get along with anybody, and yet, at the same time, they rip us left and right.",22,18,0,4.57833333333333,1.22222222222222
"233","Donald Trump","They take advantage of us economically and every other way.",19,10,0.316227766016838,6.649,1.9
"234","Donald Trump","We get along with nobody.",8,5,0,-0.0899999999999999,1.6
"235","Donald Trump","I will get along — I think — with Putin, and I will get along with others, and we will have a much more stable — stable world.",31,25,0.72,8.5912,1.24
"236","Donald Trump","I believe that I will get along — we will do — between that, Ukraine, all of the other problems, we won’t have the kind of problems that our country has right now with Russia and many other nations.",49,37,-0.162221421130763,16.5464864864865,1.32432432432432
"237","Donald Trump","I think it will haunt him.",6,6,-0.408248290463863,-2.73,1
"238","Donald Trump","I think it’s a terrible.",7,5,-0.408248290463863,-1.974,1.4
"239","Donald Trump","I think it’s going to haunt him absolutely.",12,8,-0.333333333333333,2.5875,1.5
"240","Donald Trump","He came back later and he said he misspoke.",11,9,0,0.863333333333333,1.22222222222222
"241","Donald Trump","There was no question because I heard when he said the statement.",16,12,0,5.3725,1.33333333333333
"242","Donald Trump","I was watching and he said the statement.",11,8,0,1.99875,1.375
"243","Donald Trump","And I said, wow, I can’t believe it.",9,8,0.333333333333333,-2.71125,1.125
"244","Donald Trump","I will take care of women.",7,6,0,-2.73,1.16666666666667
"245","Donald Trump","I respect women.",5,3,0.577350269189626,0.48,1.66666666666667
"246","Donald Trump","I will take care of women.",7,6,0,-2.73,1.16666666666667
"247","Donald Trump","One thing we will say and I would like to get back to the Iran situation.",20,16,0.25,3.349375,1.25
"248","Donald Trump","We’re talking about Iran.",7,4,0,4.12,1.75
"249","Donald Trump","The agreement was terrible.",8,4,-0.5,7.6525,2
"250","Donald Trump","It was incompetent.",6,3,-0.577350269189626,5.19,2
"251","Donald Trump","I’ve never seen anything like it.",9,6,-0.377964473009227,1.98,1.5
"252","Donald Trump","One of the worst contracts of any kind I’ve ever seen.",14,11,-0.288675134594813,2.05363636363636,1.27272727272727
"253","Donald Trump","And nobody ever mentions North Korea where you have this maniac sitting there and he actually has nuclear weapons and somebody better start thinking about North Korea and perhaps a couple of other places.",57,34,0,19.12,1.67647058823529
"254","Donald Trump","But certainly North Korea.",7,4,0,6.475,1.75
"255","Donald Trump","And Ted and I have spoken.",7,6,0,-2.73,1.16666666666667
"256","Donald Trump","We’ve — a lot of us have spoken.",9,7,0,-3.12714285714286,1.28571428571429
"257","Donald Trump","We’re talking about Iran.",7,4,0,4.12,1.75
"258","Donald Trump","They are bad actors, bad things are going to happen.",13,10,-0.632455532033676,2.881,1.3
"259","Donald Trump","But in the meantime, you have somebody right now in North Korea who has got nuclear weapons and who is saying almost every other week, I’m ready to use them.",41,30,0.35921060405355,13.038,1.36666666666667
"260","Donald Trump","And we don’t even mention it.",8,6,0,-1.16,1.33333333333333
"261","Donald Trump","So why didn’t you say it?",6,6,0,-4.3,1
"262","Donald Trump","Why didn’t you say it?",5,5,0,-3.858,1
"263","Donald Trump","I know, but why did you say it?",8,8,0,-4.4775,1
"264","Donald Trump","I heard it myself.",5,4,0,-2.945,1.25
"265","Donald Trump","Why did you say it?",5,5,0,-5.742,1
"266","Donald Trump","You said you’re going to cut funding for women’s health.",13,10,0,4.294,1.3
"267","Donald Trump","You said it.",3,3,0,-5.8,1
"268","Donald Trump","You said it.",3,3,0,-5.8,1
"269","Donald Trump","I think she’s got a beautiful face, and I think she’s a beautiful woman.",19,14,0.5,4.07357142857143,1.35714285714286
"270","Donald Trump","Correct.",2,1,1,12.04,2
"271","Donald Trump","First of all, I want to build a wall, a wall that works.",13,13,0.277350098112615,-0.0753846153846141,1
"272","Donald Trump","So important, and it’s a big part of it.",11,9,0.316227766016838,-1.75333333333333,1.22222222222222
"273","Donald Trump","Second of all, we have a lot of really bad dudes in this country from outside, and I think Chris knows that, maybe as well as anybody.",35,27,0,10.2122222222222,1.2962962962963
"274","Donald Trump","They go, if I get elected, first day they’re gone.",12,10,0,0.997,1.2
"275","Donald Trump","Gangs all over the place.",6,5,0,-0.0899999999999999,1.2
"276","Donald Trump","Chicago, Baltimore, no matter where you look.",12,7,0,6.29285714285714,1.71428571428571
"277","Donald Trump","We have a country based on laws.",8,7,0,-1.10857142857143,1.14285714285714
"278","Donald Trump","I will make sure that those laws are adhered to.",11,10,0,1.468,1.1
"279","Donald Trump","These are illegal immigrants.",8,4,-0.5,10.0075,2
"280","Donald Trump","I don’t think you’d even be asking this question if I didn’t run because when I ran, and I brought this up, my opening remarks at Trump Tower, I took heat like nobody has taken heat in a long time.",51,40,-0.152498570332605,16.35025,1.275
"281","Donald Trump","And, then they found out with the killing of Katie, from San Francisco, and so many other crimes, they found out that I was right.",31,25,0,10.0984,1.24
